symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
LAME4,OP,P,3.75,-2600,0.0208210405,BRL,1,2021-7-12
EQTL,OP,P,23.53,15000,0.9998754263,BRL,1,2021-7-12
MGLU3,OP,P,5.99,5000,0.3171023726,BRL,1,2022-1-1
VALE3,OP,P,35.47,-100,0.01026446931,BRL,1,2021-7-12
BRAP4,OP,C,55.66,13000,0.2748570442,BRL,1,2021-7-12
PETR4,OP,P,15.99,178000,0.01119714323,BRL,1,2021-7-12
LAME4,OP,P,6.3,10000,1.197884321,BRL,1,2021-7-12
CSNA,OP,P,16.73,-11900,0.07759518921,BRL,1,2021-7-12
BBDC4,OP,P,15.95,10190,0.135772258,BRL,1,2022-1-1
MGLU3,ST,,,1661449,6.984999657,BRL,1,
VIIA3,OP,P,15.5,3200,10.20000935,BRL,1,2021-7-12
MGLU3,OP,C,14.49,12700,0.02610376291,BRL,1,2022-1-1
RADL3,OP,C,22.9,41200,0.7767947316,BRL,1,2022-1-1
BBAS,OP,C,33.21,-15300,1.125983119,BRL,1,2022-1-1
ITSA4,ST,,,-4353,9.725000381,BRL,1,
BBDC4,OP,P,23.91,31800,3.82596159,BRL,1,2021-7-12
BRAP4,OP,C,52,6400,2.166819334,BRL,1,2022-1-1
KLBN11,OP,C,24.15,20100,1.361138225,BRL,1,2022-1-1
ITUB4,OP,C,25.66,224500,0.02472541481,BRL,1,2021-7-12
B3SA3,OP,P,10.81,-80200,0.297103703,BRL,1,2021-7-12
RADL3,OP,P,20.87,1300,0.2621230483,BRL,1,2021-7-12
BRAP4,OP,C,47.66,3000,3.55114603,BRL,1,2021-7-12
BBSE,OP,P,18.98,42000,0.09499769658,BRL,1,2021-7-12
EGIE3,OP,P,37.5,-500,0.3567290008,BRL,1,2021-7-12
JBSS3,OP,C,34.48,-7800,1.940414786,BRL,1,2022-1-1
BRAP4,OP,P,49.16,-1000,1.318463683,BRL,1,2021-7-12
BBDC4,OP,P,25.32,70220,5.224583149,BRL,1,2021-7-12
MGLU3,OP,P,7.79,52900,1.006513834,BRL,1,2021-7-12
KLBN11,OP,C,25.9,800,0.1965951324,BRL,1,2021-7-12
BA,ST,,,2552,190.8349915,USD,1,
VALE3,OP,C,132.47,-1000,0.002331333701,BRL,1,2021-7-12
TAEE11,OP,P,39.75,5400,3.658453941,BRL,1,2021-7-12
MGLU3,OP,C,13.49,-46700,0.007757972926,BRL,1,2021-7-12
BRKM5,OP,C,48,7100,7.461064816,BRL,1,2022-1-1
YDUQ3,OP,P,23,3100,2.297486782,BRL,1,2022-1-1
PETR3,OP,P,29,-12000,1.052811861,BRL,1,2022-1-1
PETR3,OP,P,30.5,-20900,1.628202438,BRL,1,2022-1-1
B3SA3,OP,C,18.31,-18000,,BRL,1,2021-7-12
VIIA3,OP,P,7.6,-26100,2.348884106,BRL,1,2021-7-12
BBDC3,OP,C,17.56,-2000,0.3459275067,BRL,1,2021-7-12
BRFS3,OP,P,16,-36000,0.0777092427,BRL,1,2021-7-12
VALE3,OP,P,87.47,-63900,16.31979561,BRL,1,2022-1-1
BBSE,OP,C,24,-4000,0.07649121433,BRL,1,2022-1-1
MULT3,OP,P,20.5,46800,1.563311815,BRL,1,2021-7-12
EGIE3,OP,C,39.5,-8400,0.3750019968,BRL,1,2021-7-12
MRFG,OP,P,26.6,-51700,4.60101366,BRL,1,2021-7-12
CIEL3,OP,C,2.56,300,0.05176359043,BRL,1,2022-1-1
GGBR4,OP,P,21.78,-71500,0.3317019343,BRL,1,2022-1-1
EMBR3,OP,P,21.5,73200,3.295338154,BRL,1,2021-7-12
VIIA3,OP,C,15,-9200,,BRL,1,2021-7-12
MGLU3,OP,P,21.74,5300,14.46889687,BRL,1,2022-1-1
MULT3,OP,C,25.5,-4300,0.01347918715,BRL,1,2021-7-12
PETR4,OP,C,25.1,-300,5.126624107,BRL,1,2022-1-1
PCAR3,OP,C,22.5,-12100,1.26075983,BRL,1,2022-1-1
GGBR4,OP,C,25.28,-110200,2.467049599,BRL,1,2022-1-1
VIIA3,OP,C,16.5,100,0.00491427863,BRL,1,2022-1-1
USIM5,OP,P,14.32,-36200,1.129632115,BRL,1,2021-7-12
VIIA3,OP,C,12,-18800,,BRL,1,2021-7-12
PETR4,OP,C,36.99,24300,0.02035618387,BRL,1,2021-7-12
ELET6,OP,C,35.5,800,0.8132935166,BRL,1,2022-1-1
BRDT3,OP,P,20.22,16900,0.3320406377,BRL,1,2021-7-12
CMIG4,OP,P,13.5,32500,0.6375705004,BRL,1,2021-7-12
B3SA3,OP,C,16.06,142600,0.0005674948334,BRL,1,2021-7-12
BBDC3,OP,C,21.56,-300,0.004735959228,BRL,1,2021-7-12
VALE3,OP,P,91.47,31700,20.65217209,BRL,1,2021-7-12
TAEE11,OP,C,38,-8000,0.104662925,BRL,1,2021-7-12
VIIA3,OP,C,7.2,-74500,0.09906765819,BRL,1,2022-1-1
VALE3,OP,P,95.47,44900,24.62355995,BRL,1,2021-7-12
BOVA,OP,P,125,200,25.94705391,BRL,1,2022-1-1
EQTL,OP,C,25.03,22000,0.06410015374,BRL,1,2021-7-12
B3SA3,OP,P,7.88,-70200,0.02030827105,BRL,1,2021-7-12
MGLU3,OP,C,10.99,33000,0.02163439989,BRL,1,2021-7-12
VIIA3,OP,C,8.2,-37100,0.01137169264,BRL,1,2021-7-12
CIEL3,ST,,,1553972,2.025000095,BRL,1,
MGLU3,OP,C,15.74,101900,0.004216925241,BRL,1,2021-7-12
VALE3,OP,C,78.97,302600,0.3497552872,BRL,1,2021-7-12
BRDT3,OP,C,27.22,500,0.0203459654,BRL,1,2021-7-12
QQQ,OP,P,349,-368,1.196965814,USD,100,2021-7-12
VALE3,OP,P,69.97,-40700,3.650657892,BRL,1,2022-1-1
MRFG,OP,P,27.6,100,5.572974205,BRL,1,2021-7-12
BBAS,OP,P,30.12,-66400,0.4828179479,BRL,1,2021-7-12
JBSS3,OP,P,33.48,3100,0.86104846,BRL,1,2021-7-12
BBAS,OP,P,36.62,10900,4.97100544,BRL,1,2021-7-12
PETR4,OP,C,30.99,-214700,0.5088649392,BRL,1,2021-7-12
VIVT3,OP,P,45.38,-200,0.1541293412,BRL,1,2021-7-12
VALE3,OP,P,83.47,25300,12.76129627,BRL,1,2021-7-12
VIIA3,OP,C,5.3,-14800,0.3259752393,BRL,1,2021-7-12
GGBR4,OP,C,26.65,30900,0.9095845819,BRL,1,2021-7-12
B3SA3,OP,P,13.56,190100,2.390853405,BRL,1,2021-7-12
BRAP4,OP,P,48.5,-2700,1.898146749,BRL,1,2022-1-1
MRNA,ST,,,861,314.539978,USD,1,
BRDT3,OP,C,21.22,-50500,0.8215051293,BRL,1,2021-7-12
JBSS3,OP,C,40.98,1400,0.04126255214,BRL,1,2021-7-12
JBSS3,OP,C,38.48,-7000,0.6097781658,BRL,1,2022-1-1
VIIA3,OP,P,5.2,-4600,0.3188101053,BRL,1,2021-7-12
BBAS,OP,P,32.21,32400,1.789967179,BRL,1,2022-1-1
BRKM5,OP,P,50,3500,1.168973684,BRL,1,2021-7-12
TAEE11,OP,P,36,9300,0.6109369993,BRL,1,2021-7-12
