symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
VALE3,VAL3A,OP,C,89.47,10300,0.28,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,8.1,-5200,2.87,BRL,1,2021-7-12
HYPE,HYP3A,OP,C,29,9700,0.61,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,58.21,-6200,19.77,BRL,1,2022-6-9
ELET6,ELE6E,OP,P,36,-6000,3.93,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,14.06,-303600,0.01,BRL,1,2021-7-12
BBDC4,BDC4A,OP,C,18.95,430,1.23,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,30.37,38100,0.64,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,9.8,12500,4.56,BRL,1,2021-7-12
JBSS3,JBS3E,OP,P,36.98,6400,3.19,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,69.97,-40700,3.76,BRL,1,2022-1-1
B3SA3,B3SAA,OP,C,14.56,114300,0.01,BRL,1,2021-7-12
LAME4,LAM4A,OP,C,6.9,-400,0.03,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,82.97,8800,12.52,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,89.47,-51900,0.04,BRL,1,2021-7-12
VIIA3,VIA3E,OP,C,12.75,-2000,0.01,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,15.24,-70100,0.01,BRL,1,2021-7-12
RADL3,RAL3E,OP,P,21.37,-500,0.46,BRL,1,2021-7-12
BRAP4,BRA4A,OP,C,49,37500,3.48,BRL,1,2022-1-1
BRML3,BRM3A,OP,C,7.8,4400,0.53,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,28.6,1000,3.7,BRL,1,2022-4-4
VIIA3,VIA3A,OP,C,12.5,200,0.01,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,36.24,-73200,0.02,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,7.49,-9600,1.01,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,40.97,32200,0.01,BRL,1,2021-7-12
BOV11,BOV9E,OP,C,117,156808,0.13,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,22.74,-24600,6.96,BRL,1,2021-7-12
AAPL,AAPL,OP,P,148,807,0.725,USD,100,2021-7-12
AAPL,AAPL,OP,P,125,-740,0.535,USD,100,2022-1-1
BBDC4,BDC4E,OP,P,21.23,-8060,1.51,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,74.97,-81500,5.36,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,14.6,-69100,0.04,BRL,1,2022-1-1
BBSE3,BBS3A,OP,C,21.48,95900,0.17,BRL,1,2021-7-12
BRKM5,BRK5E,OP,P,51,7600,2.84,BRL,1,2022-1-1
VISA,VISA,ST,,,1600,190.16,USD,1,
YDUQ3,YDU3E,OP,P,24,9900,3.11,BRL,1,2022-1-1
BBDC4,BDC4A,OP,C,23.7,2100,0.14,BRL,1,2022-1-1
CIEL3,CIL3A,OP,C,2.86,60000,0.01,BRL,1,2021-7-12
ITSA4,ITSAE,OP,P,9.54,-466200,0.29,BRL,1,2022-1-1
BRFS3,BRF3E,OP,P,23,800,3.73,BRL,1,2021-7-12
YDUQ3,YDU3E,OP,P,23,-86500,1.8,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,33.4,5000,0.01,BRL,1,2021-7-12
